%  label: Fitness-sharing, 17/03/23 00-10-39
%  population_size: 2048
%  mutation_rate: 0.45
%  max_generations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.1
%  use_viscosity: true
%  outregs: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd

ITERATION,AVG-GEN,AVG-FIT,AVG-ABFIT,AVG-CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
52,0.052734375,0.47639167,0.47639167,0.36263737,0,0.105648935,0.105648935,0,16.634277,7,0.9555664
53,0.053710938,0.47870475,0.47870475,0.3655914,0,0.105648935,0.105648935,0,16.645996,7,0.95458984
54,0.0546875,0.4770036,0.4770036,0.35789475,0,0.105648935,0.105648935,0,16.641113,7,0.9536133
55,0.055664063,0.47394952,0.47394952,0.35051546,0,0.105648935,0.105648935,0,16.632813,7,0.9526367
56,0.056640625,0.47026968,0.47026968,0.34343433,0,0.105648935,0.105648935,0,16.611328,7,0.95166016
57,0.057617188,0.4699682,0.4699682,0.34,0,0.105648935,0.105648935,0,16.612793,7,0.9511719
58,0.05859375,0.47486302,0.47486302,0.3529412,0,0.105648935,0.105648935,0,16.618164,7,0.9501953
59,0.059570313,0.47558162,0.47558162,0.35576922,0,0.105648935,0.105648935,0,16.605957,7,0.94921875
60,0.060546875,0.4740673,0.4740673,0.36190477,0,0.105648935,0.105648935,0,16.606934,7,0.94873047
61,0.061523438,0.47349545,0.47349545,0.36448598,0,0.105648935,0.105648935,0,16.598145,7,0.9477539
62,0.0625,0.47212985,0.47212985,0.36697248,0,0.105648935,0.105648935,0,16.587402,7,0.94677734
63,0.06347656,0.46853983,0.46853983,0.36036035,0,0.105648935,0.105648935,0,16.578125,7,0.9458008
64,0.064453125,0.4652998,0.4652998,0.35714287,0,0.105648935,0.105648935,0,16.581543,7,0.9453125
65,0.06542969,0.46507695,0.46507695,0.3539823,0,0.105648935,0.105648935,0,16.577148,7,0.9448242
66,0.06640625,0.46464294,0.46464294,0.3478261,0,0.105648935,0.105648935,0,16.55664,7,0.94384766
67,0.06738281,0.46232215,0.46232215,0.34188035,0,0.105648935,0.105648935,0,16.5708,7,0.9428711
68,0.068359375,0.45820984,0.45820984,0.33613446,0,0.105648935,0.105648935,0,16.560059,7,0.94189453
69,0.06933594,0.46069923,0.46069923,0.338843,0,0.105648935,0.105648935,0,16.575684,7,0.94091797
70,0.0703125,0.45870692,0.45870692,0.33606556,0,0.105648935,0.105648935,0,16.578613,7,0.9404297
71,0.07128906,0.45614403,0.45614403,0.33333334,0,0.105648935,0.105648935,0,16.57129,7,0.9399414
72,0.072265625,0.4541716,0.4541716,0.328,0,0.105648935,0.105648935,0,16.562012,7,0.93896484
73,0.07324219,0.45406008,0.45406008,0.32539684,0,0.105648935,0.105648935,0,16.556152,7,0.93847656
74,0.07421875,0.4538423,0.4538423,0.3203125,0,0.105648935,0.105648935,0,16.543457,7,0.9375
75,0.07519531,0.45020837,0.45020837,0.31538463,0,0.105648935,0.105648935,0,16.546387,7,0.93652344
76,0.07714844,0.45057607,0.45057607,0.3181818,0,0.105648935,0.105648935,0,16.550781,7,0.9355469
77,0.078125,0.44654968,0.44654968,0.30827066,0,0.105648935,0.105648935,0,16.578613,7,0.9350586
78,0.080078125,0.44260907,0.44260907,0.3037037,0,0.105648935,0.105648935,0,16.574219,7,0.93408203
79,0.08105469,0.43990526,0.43990526,0.30656934,0,0.105648935,0.105648935,0,16.571777,7,0.93310547
80,0.08300781,0.43733302,0.43733302,0.30215827,0,0.105648935,0.105648935,0,16.563477,7,0.9321289
81,0.08496094,0.44059294,0.44059294,0.30714285,0,0.105648935,0.105648935,0,16.55371,7,0.9316406
82,0.0859375,0.4405863,0.4405863,0.3028169,0,0.105648935,0.105648935,0,16.550293,7,0.93066406
83,0.08691406,0.44058308,0.44058308,0.3006993,0,0.105648935,0.105648935,0,16.541016,7,0.9301758
84,0.087890625,0.44413993,0.44413993,0.3034483,0,0.105648935,0.105648935,0,16.533203,7,0.9291992
85,0.08935547,0.44304273,0.44304273,0.2993197,0,0.105648935,0.105648935,0,16.532715,7,0.92822266
86,0.09033203,0.44543466,0.44543466,0.30201343,0,0.105648935,0.105648935,0,16.526855,7,0.9272461
87,0.091308594,0.44539928,0.44539928,0.3,0,0.105648935,0.105648935,0,16.53125,7,0.9267578
88,0.092285156,0.44340596,0.44340596,0.29605263,0,0.105648935,0.105648935,0,16.526367,7,0.92578125
89,0.09326172,0.4433845,0.4433845,0.29411766,0,0.105648935,0.105648935,0,16.526367,7,0.92529297
90,0.09375,0.44542247,0.44542247,0.29677418,0,0.105648935,0.105648935,0,16.512695,7,0.9243164
91,0.095703125,0.4454219,0.4454219,0.2948718,0,0.105648935,0.105648935,0,16.516113,7,0.9238281
92,0.09765625,0.44187587,0.44187587,0.29299363,0,0.105648935,0.105648935,0,16.512207,7,0.92333984
93,0.09863281,0.4374012,0.4374012,0.28481013,0,0.105648935,0.105648935,0,16.50293,7,0.92285156
94,0.099121094,0.43476906,0.43476906,0.28301886,0,0.105648935,0.105648935,0,16.506348,7,0.9223633
95,0.10107422,0.43344438,0.43344438,0.2795031,0,0.105648935,0.105648935,0,16.500977,7,0.9213867
96,0.10205078,0.43197826,0.43197826,0.2795031,0,0.105648935,0.105648935,0,16.4917,7,0.9213867
97,0.103027344,0.43505293,0.43505293,0.28834355,0,0.105648935,0.105648935,0,16.487305,7,0.92041016
98,0.103515625,0.43161815,0.43161815,0.2822086,0,0.105648935,0.105648935,0,16.460938,7,0.92041016
99,0.104003906,0.43166992,0.43166992,0.2804878,0,0.105648935,0.105648935,0,16.42871,7,0.9199219
100,0.10498047,0.43505266,0.43505266,0.28313252,0,0.105648935,0.105648935,0,16.444336,7,0.9189453
101,0.10595703,0.43353695,0.43353695,0.2797619,0,0.105648935,0.105648935,0,16.437988,7,0.91796875
102,0.106933594,0.43209654,0.43209654,0.2781065,0,0.105648935,0.105648935,0,16.446777,7,0.91748047
103,0.107910156,0.4337298,0.4337298,0.28070176,0,0.105648935,0.105648935,0,16.458984,7,0.9165039
104,0.10888672,0.43102193,0.43102193,0.27745664,0,0.105648935,0.105648935,0,16.451172,7,0.91552734
105,0.10986328,0.43602854,0.43602854,0.2857143,0,0.105648935,0.105648935,0,16.451172,7,0.9145508
106,0.11035156,0.43660015,0.43660015,0.2881356,0,0.105648935,0.105648935,0,16.455078,7,0.9135742
107,0.111328125,0.43368116,0.43368116,0.28248587,0,0.105648935,0.105648935,0,16.45459,7,0.9135742
108,0.11230469,0.43688095,0.43688095,0.2849162,0,0.105648935,0.105648935,0,16.455566,7,0.91259766
109,0.11425781,0.4369168,0.4369168,0.28176796,0,0.105648935,0.105648935,0,16.4458,7,0.9116211
110,0.114746094,0.4369344,0.4369344,0.2802198,0,0.105648935,0.105648935,0,16.444824,7,0.9111328
111,0.115722656,0.43575987,0.43575987,0.2771739,0,0.105648935,0.105648935,0,16.446777,7,0.91015625
112,0.11669922,0.43337014,0.43337014,0.27567568,0,0.105648935,0.105648935,0,16.433594,7,0.90966797
113,0.11767578,0.43215516,0.43215516,0.27567568,0,0.105648935,0.105648935,0,16.434082,7,0.90966797
114,0.118652344,0.43224046,0.43224046,0.27272728,0,0.105648935,0.105648935,0,16.42627,7,0.9086914
115,0.119140625,0.4333796,0.4333796,0.26984128,0,0.105648935,0.105648935,0,16.426758,7,0.90771484
116,0.12011719,0.4334151,0.4334151,0.26842105,0,0.105648935,0.105648935,0,16.431152,7,0.90722656
117,0.12109375,0.43287167,0.43287167,0.2670157,0,0.105648935,0.105648935,0,16.42334,7,0.9067383
118,0.122558594,0.4298676,0.4298676,0.2642487,0,0.105648935,0.105648935,0,16.41455,7,0.9057617
119,0.12451172,0.42673117,0.42673117,0.26153848,0,0.105648935,0.105648935,0,16.417969,7,0.90478516
120,0.12548828,0.42372295,0.42372295,0.26020408,0,0.105648935,0.105648935,0,16.408691,7,0.9042969
121,0.12646484,0.4264329,0.4264329,0.26767677,0,0.105648935,0.105648935,0,16.40625,7,0.9033203
122,0.12695313,0.42656982,0.42656982,0.265,0,0.105648935,0.105648935,0,16.416992,7,0.90234375
123,0.12792969,0.42801845,0.42801845,0.26732674,0,0.105648935,0.105648935,0,16.413574,7,0.9013672
124,0.12988281,0.42908856,0.42908856,0.26960784,0,0.105648935,0.105648935,0,16.423828,7,0.9003906
125,0.13183594,0.43067065,0.43067065,0.27184466,0,0.105648935,0.105648935,0,16.413086,7,0.89941406
126,0.1328125,0.4296919,0.4296919,0.26923078,0,0.105648935,0.105648935,0,16.41455,7,0.8984375
127,0.13476563,0.42974183,0.42974183,0.26794258,0,0.105648935,0.105648935,0,16.412598,7,0.8979492
128,0.13574219,0.42831823,0.42831823,0.26540285,0,0.105648935,0.105648935,0,16.410645,7,0.89697266
129,0.13671875,0.43016088,0.43016088,0.26760563,0,0.105648935,0.105648935,0,16.395996,7,0.8959961
130,0.13769531,0.43264782,0.43264782,0.26511627,0,0.105648935,0.105648935,0,16.386719,7,0.89501953
131,0.13867188,0.43400633,0.43400633,0.26728112,0,0.105648935,0.105648935,0,16.370117,7,0.89404297
132,0.13964844,0.43431145,0.43431145,0.26940638,0,0.105648935,0.105648935,0,16.367188,7,0.8930664
133,0.14013672,0.43335733,0.43335733,0.26696834,0,0.105648935,0.105648935,0,16.354492,7,0.89208984
134,0.14208984,0.43146467,0.43146467,0.264574,0,0.105648935,0.105648935,0,16.345703,7,0.8911133
135,0.1430664,0.43111005,0.43111005,0.26222223,0,0.105648935,0.105648935,0,16.351563,7,0.8901367
136,0.14404297,0.43306735,0.43306735,0.26548672,0,0.105648935,0.105648935,0,16.34082,7,0.88964844
137,0.14501953,0.43746415,0.43746415,0.27192983,0,0.105648935,0.105648935,0,16.339844,7,0.8886719
138,0.14697266,0.4391243,0.4391243,0.27510917,0,0.105648935,0.105648935,0,16.330566,7,0.8881836
139,0.14746094,0.44158593,0.44158593,0.27705628,0,0.105648935,0.105648935,0,16.333984,7,0.88720703
140,0.1484375,0.4415796,0.4415796,0.27586207,0,0.105648935,0.105648935,0,16.322754,7,0.88671875
141,0.14941406,0.44289705,0.44289705,0.27586207,0,0.105648935,0.105648935,0,16.316406,7,0.88671875
142,0.15039063,0.4428733,0.4428733,0.2735043,0,0.105648935,0.105648935,0,16.29541,7,0.8857422
143,0.15136719,0.4441354,0.4441354,0.27542374,0,0.105648935,0.105648935,0,16.283691,7,0.8847656
144,0.15234375,0.4441354,0.4441354,0.27542374,0,0.105648935,0.105648935,0,16.294922,7,0.8847656
145,0.15332031,0.4481836,0.4481836,0.28151262,0,0.105648935,0.105648935,0,16.276367,7,0.88378906
146,0.15429688,0.45049244,0.45049244,0.28451884,0,0.105648935,0.105648935,0,16.266602,7,0.8833008
147,0.15625,0.45146298,0.45146298,0.28630707,0,0.105648935,0.105648935,0,16.25879,7,0.8823242
148,0.15820313,0.45141613,0.45141613,0.28512397,0,0.105648935,0.105648935,0,16.280762,7,0.88183594
149,0.15917969,0.45136967,0.45136967,0.28395063,0,0.105648935,0.105648935,0,16.264648,7,0.88134766
150,0.16015625,0.45033765,0.45033765,0.28278688,0,0.105648935,0.105648935,0,16.265625,7,0.8808594
151,0.16210938,0.44974312,0.44974312,0.2804878,0,0.105648935,0.105648935,0,16.26123,7,0.8798828
152,0.16308594,0.4469387,0.4469387,0.27530363,0,0.105648935,0.105648935,0,16.266113,7,0.87939453
153,0.1640625,0.44782677,0.44782677,0.2782258,0,0.105648935,0.105648935,0,16.264648,7,0.87890625
154,0.16455078,0.44912517,0.44912517,0.28,0,0.105648935,0.105648935,0,16.250488,7,0.8779297
155,0.16503906,0.4502542,0.4502542,0.28174603,0,0.105648935,0.105648935,0,16.244629,7,0.8769531
156,0.16601563,0.44933477,0.44933477,0.2806324,0,0.105648935,0.105648935,0,16.249023,7,0.87646484
157,0.16699219,0.44839,0.44839,0.2784314,0,0.105648935,0.105648935,0,16.260254,7,0.8754883
158,0.16748047,0.44540858,0.44540858,0.2734375,0,0.105648935,0.105648935,0,16.242676,7,0.875
159,0.16845703,0.44540858,0.44540858,0.2734375,0,0.105648935,0.105648935,0,16.233887,7,0.875
160,0.1694336,0.4463879,0.4463879,0.27131784,0,0.105648935,0.105648935,0,16.22461,7,0.87402344
161,0.17041016,0.44968128,0.44968128,0.2769231,0,0.105648935,0.105648935,0,16.22705,7,0.8730469
162,0.171875,0.45216805,0.45216805,0.28244275,0,0.105648935,0.105648935,0,16.237305,7,0.8720703
