%  label: cazmud
%  ret_hooks: false
%  population_size: 2048
%  mutation_rate: 0.9
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.05
%  use_viscosity: false
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: false
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,BEST-RUNTIME,UNSEEN,MEAN-DIF-C0,STD-DEV-C0,MEAN-DIF-C1,STD-DEV-C1,MEAN-DIF-C2,STD-DEV-C2
8,0,0.001953125,0.96213347,0.8106667,0.9260001,0.63,1,0,1,1,1,16.436523,17,0.37394857,0.9926758,0.5,0,0.5,0,0.5,0
16,0,0.0029296875,0.9415667,0.7473333,0.8175,0.27,1,0,1,1,1,16.44873,17,0.37394857,0.98535156,0.5,0,0.5,0,0.5,0
24,0,0.0029296875,0.9202608,0.75195634,0.745,0.27,1,0,1,1,1,16.442383,17,0.37394857,0.97753906,0.5,0,0.5,0,0.5,0
32,0,0.005859375,0.9008524,0.74704903,0.63,0.27,0.9672131,0,0.63,0.63,0,16.436523,19,0.34037408,0.97021484,0.5,0,0.5,0,0.5,0
40,0,0.009765625,0.88710797,0.7371622,0.63,0.27,0.9594595,0,0.63,0.63,0,16.4375,19,0.34037408,0.9638672,0.5,0,0.5,0,0.5,0
48,0,0.0126953125,0.8858719,0.74422234,0.63,0.27,0.9444444,0,0.63,0.63,0,16.455078,19,0.34037408,0.9560547,0.5,0,0.5,0,0.5,0
56,0,0.0126953125,0.88291675,0.74432683,0.63,0.27,0.9423077,0,0.63,0.63,0,16.470215,19,0.34037408,0.94921875,0.5,0,0.5,0,0.5,0
64,0,0.0146484375,0.8879531,0.7559662,0.63,0.27,0.9327731,0,0.63,0.63,0,16.453613,19,0.34037408,0.94189453,0.5,0,0.5,0,0.5,0
72,0,0.0146484375,0.88512003,0.75371176,0.63,0.27,0.9318182,0,0.63,0.63,0,16.46875,19,0.34037408,0.9355469,0.5,0,0.5,0,0.5,0
80,0,0.017089844,0.8810957,0.7479995,0.63,0.27,0.9310345,0,0.63,0.63,0,16.480469,19,0.34037408,0.9291992,0.5,0,0.5,0,0.5,0
88,0,0.019042969,0.88308495,0.7546536,0.63,0.27,0.9245283,0,0.63,0.63,0,16.490723,19,0.34037408,0.9223633,0.5,0,0.5,0,0.5,0
