%  label: cazmud
%  ret_hooks: false
%  population_size: 2048
%  mutation_rate: 0.9
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.05
%  use_viscosity: false
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: false
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,BEST-RUNTIME,UNSEEN,MEAN-DIF-C0,STD-DEV-C0,MEAN-DIF-C1,STD-DEV-C1,MEAN-DIF-C2,STD-DEV-C2
264,0,0.047851563,0.8722097,0.73720956,0.63,0.27,0.9517766,0,0.63,0.63,0,16.618652,19,0.34037408,0.8076172,0.5,0,0.5,0,0.5,0
272,0,0.048339844,0.8710423,0.7346302,0.63,0.27,0.9529703,0,0.63,0.63,0,16.614258,19,0.34037408,0.8027344,0.5,0,0.5,0,0.5,0
280,0,0.05126953,0.8694808,0.7322346,0.63,0.27,0.9514563,0,0.63,0.63,0,16.578613,19,0.34037408,0.7988281,0.5,0,0.5,0,0.5,0
288,0,0.05126953,0.86877775,0.7306446,0.63,0.27,0.95238096,0,0.63,0.63,0,16.526367,19,0.34037408,0.7949219,0.5,0,0.5,0,0.5,0
296,0,0.052246094,0.8689358,0.730841,0.63,0.27,0.9533799,0,0.63,0.63,0,16.535156,19,0.34037408,0.79052734,0.5,0,0.5,0,0.5,0
304,0,0.05126953,0.86873364,0.73022777,0.63,0.27,0.9548533,0,0.63,0.63,0,16.495117,19,0.34037408,0.7836914,0.5,0,0.5,0,0.5,0
312,0,0.0546875,0.8681273,0.72883207,0.63,0.27,0.9558499,0,0.63,0.63,0,16.496094,19,0.34037408,0.7788086,0.5,0,0.5,0,0.5,0
320,0,0.0546875,0.8666348,0.7265817,0.63,0.27,0.95424837,0,0.63,0.63,0,16.506348,19,0.34037408,0.7758789,0.5,0,0.5,0,0.5,0
328,0,0.055664063,0.8650723,0.72538525,0.63,0.27,0.9510638,0,0.63,0.63,0,16.516602,19,0.34037408,0.7705078,0.5,0,0.5,0,0.5,0
336,0,0.05810547,0.8644907,0.7240191,0.63,0.27,0.95188284,0,0.63,0.63,0,16.470215,19,0.34037408,0.76660156,0.5,0,0.5,0,0.5,0
344,0,0.060058594,0.86407197,0.7234535,0.63,0.27,0.95010394,0,0.63,0.63,0,16.472168,19,0.34037408,0.7651367,0.5,0,0.5,0,0.5,0
352,0,0.061523438,0.86240435,0.7198382,0.63,0.27,0.9527721,0,0.63,0.63,0,16.442383,19,0.34037408,0.76220703,0.5,0,0.5,0,0.5,0
360,0,0.063964844,0.86312264,0.721192,0.63,0.27,0.953629,0,0.63,0.63,0,16.455078,19,0.34037408,0.7578125,0.5,0,0.5,0,0.5,0
368,0,0.06591797,0.86206776,0.72041756,0.63,0.27,0.9505929,0,0.63,0.63,0,16.461914,19,0.34037408,0.7529297,0.5,0,0.5,0,0.5,0
376,0,0.068847656,0.8599322,0.718898,0.63,0.27,0.9437984,0,0.63,0.63,0,16.46875,19,0.34037408,0.7480469,0.5,0,0.5,0,0.5,0
384,0,0.06933594,0.85886514,0.7165286,0.63,0.27,0.9443378,0,0.63,0.63,0,16.410156,19,0.34037408,0.74560547,0.5,0,0.5,0,0.5,0
392,0,0.072753906,0.8584102,0.71539176,0.63,0.27,0.94497156,0,0.63,0.63,0,16.421387,19,0.34037408,0.7426758,0.5,0,0.5,0,0.5,0
400,0,0.07373047,0.85748494,0.713984,0.63,0.27,0.94392526,0,0.63,0.63,0,16.39746,19,0.34037408,0.73876953,0.5,0,0.5,0,0.5,0
408,0,0.076171875,0.857058,0.71301943,0.63,0.27,0.94413406,0,0.63,0.63,0,16.415527,19,0.34037408,0.73779297,0.5,0,0.5,0,0.5,0
416,0,0.07861328,0.8572444,0.713177,0.63,0.27,0.94495416,0,0.63,0.63,0,16.440918,19,0.34037408,0.7338867,0.5,0,0.5,0,0.5,0
424,0,0.080078125,0.8568852,0.71219087,0.63,0.27,0.9457505,0,0.63,0.63,0,16.438965,19,0.34037408,0.72998047,0.5,0,0.5,0,0.5,0
432,0,0.08105469,0.8560576,0.71014476,0.63,0.27,0.9468085,0,0.63,0.63,0,16.421387,19,0.34037408,0.7246094,0.5,0,0.5,0,0.5,0
440,0,0.08300781,0.8554436,0.709774,0.63,0.27,0.94542253,0,0.63,0.63,0,16.393066,19,0.34037408,0.72265625,0.5,0,0.5,0,0.5,0
448,0,0.08300781,0.855036,0.7094464,0.63,0.27,0.9443478,0,0.63,0.63,0,16.36377,19,0.34037408,0.7192383,0.5,0,0.5,0,0.5,0
456,0,0.08496094,0.85399896,0.70773876,0.63,0.27,0.9433962,0,0.63,0.63,0,16.387207,19,0.34037408,0.71533203,0.5,0,0.5,0,0.5,0
464,0,0.08691406,0.85296404,0.70734537,0.63,0.27,0.93867123,0,0.63,0.63,0,16.379395,19,0.34037408,0.7133789,0.5,0,0.5,0,0.5,0
